物品名称	编号
木刀	11001
卜刀	11002
单刀	11003
钢刀	11004
直刀	11005
雁翎刀	11006
天竺弯刀	11007
苗刀	11008
刑刀	11009
柳叶刀	11010
八卦刀	11011
九环刀	11012
紫金八卦刀	11013
鬼头刀	11014
金背大刀	11015
锯齿刀	11016
百辟刀	11017
浦元神刀	11018
银弧刀	11019
虎头金刀	11020
鸳鸯刀	11021
紫金刀	11022
血刀	11023
冷月宝刀	11024
屠龙刀	11025
柴刀	11026
菜刀	11027
倭刀	11028
斩马刀	11029
穿云刀	11030
鸣鸿刀	11031
关刀	11032
子母刀	11033
石刀	11034
青铜刀	11035
百鍊宝刀	11036
破风刀	11037
步战砍刀	11038
金刀	11039
绿波香露刀	11040
宿铁刀	11041
不二刀	11042
布刀	11043
金貂刀	11044
狮头宝刀	11045
龙王刀	11046
传家宝刀	11047
残月刀	11048
飘然刀	11049
销魂刀	11050
狂啸刀	11051
快意刀	11052
欣悦刀	11053
新月刀	11054
冰雪刀	11055
暴雨刀	11056
狂风刀	11057
无名刀	11058
武魂刀	11059
战神刀	11060
实木刀	11061
修罗刀	11062
破凤刀	11063
魂念刀	11064
翔翼刀	11065
碧盈刀	11066
福梦刀	11067
破军刀	11068
贪狼刀	11069
天魁刀	11070
艮山刀	11071
巽风刀	11072
玄武刀	11073
朱雀刀	11074
白虎刀	11075
麒麟刀	11076
青龙刀	11077
金龙刀	11078
木龙刀	11079
水龙刀	11080
火龙刀	11081
土龙刀	11082
五帝尊刀	11083
(强化)鬼头刀	11084
(强化)金背大刀	11085
(强化)锯齿刀	11086
(强化)百辟刀	11087
(强化)浦元神刀	11088
(强化)银弧刀	11089
(强化)虎头金刀	11090
(强化)倭刀	11091
(强化)斩马刀	11092
(强化)关刀	11093
(强化)子母刀	11094
(强化)百鍊宝刀	11095
(强化)破风刀	11096
(强化)步战砍刀	11097
(强化)金刀	11098
(强化)绿波香露刀	11099
(强化)宿铁刀	11100
(强化)金貂刀	11101
(强化)狮头宝刀	11102
(强化)快意刀	11103
(强化)暴雨刀	11104
(强化)狂风刀	11105
(强化)无名刀	11106
(强化)武魂刀	11107
(强化)战神刀	11108
(强化)修罗刀	11109
(强化)魂念刀	11110
(强化)破军刀	11111
(强化)贪狼刀	11112
(强化)天魁刀	11113
(强化)艮山刀	11114
(强化)巽风刀	11115
(强化)玄武刀	11116
(强化)朱雀刀	11117
(强化)白虎刀	11118
(强化)麒麟刀	11119
(强化)青龙刀	11120
(强化)金龙刀	11121
(强化)木龙刀	11122
(强化)水龙刀	11123
(强化)火龙刀	11124
(强化)土龙刀	11125
(强化)五帝尊刀	11126
炼狱刀	11127
门派比武用刀	11128
奇门龙刃刀	11129
五蕴戒刀	11130
狂威刀	11131
泰阿刀	11132
龙渊刀	11133
月梦刀	11134
游龙刀	11135
振威刀	11136
枫杨刀	11137
潋滟刀	11138
琅琊刀	11139
强化振威刀	11140
(精一)紫金刀	11141
(精一)鸳鸯刀	11142
(精一)不二刀	11143
(精二)紫金刀	11144
(精二)鸳鸯刀	11145
(精二)不二刀	11146
(精三)紫金刀	11147
(精三)鸳鸯刀	11148
(精三)不二刀	11149
(精四)紫金刀	11150
(精四)鸳鸯刀	11151
(精四)不二刀	11152
(精五)紫金刀	11153
(精五)鸳鸯刀	11154
(精五)不二刀	11155
(精一)龙王刀	11156
(精一)五帝尊刀	11157
(精一)金龙刀	11158
(精二)龙王刀	11159
(精二)五帝尊刀	11160
(精二)金龙刀	11161
(精三)龙王刀	11162
(精三)五帝尊刀	11163
(精三)金龙刀	11164
(精四)龙王刀	11165
(精四)五帝尊刀	11166
(精四)金龙刀	11167
(精五)龙王刀	11168
(精五)五帝尊刀	11169
(精五)金龙刀	11170
神佑刀	11171
屠龙单刀	11172
屠龙厚背刃	11173
月见刀	11174
水岳刀	11175
猫爪	11176
暘钰黑刃	11177
樊天刀	11178
神悟刀	11179
上古贪狼刀	11180
上古天魁刀	11181
上古破军刀	11182
上古巽风刀	11183
上古艮山刀	11184
御皇刀	11185
天命刀	11186
怀旧青龙刀	11187
怀旧白虎刀	11188
怀旧朱雀刀	11189
怀旧玄武刀	11190
怀古刀	11191
寒月刀	11192
斩魔刃	11193
血饮刀	11194
镇军血刃	11195
龙纹刀	11196
浊阴刃	11197
青龙偃月刀	11198
砍柴刀	11199
经典纪念刀	11200
(晶1)樱花村日刀	11201
(晶1)霸体钢日刀	11202
(晶1)韬击灭日刀	11203
(晶1)无想祭日禅刀	11204
(晶1)空明烙日刀	11205
(晶1)飞翼划日刀	11206
(晶1)皓命日弯刀	11207
(晶1)图日厚背刀	11208
(晶1)炽日侍卫刀	11209
(晶1)三魂断日刀	11210
(晶2)樱花村日刀	11211
(晶2)霸体钢日刀	11212
(晶2)韬击灭日刀	11213
(晶2)无想祭日禅刀	11214
(晶2)空明烙日刀	11215
(晶2)飞翼划日刀	11216
(晶2)皓命日弯刀	11217
(晶2)图日厚背刀	11218
(晶2)炽日侍卫刀	11219
(晶2)三魂断日刀	11220
(晶3)樱花村日刀	11221
(晶3)霸体钢日刀	11222
(晶3)韬击灭日刀	11223
(晶3)无想祭日禅刀	11224
(晶3)空明烙日刀	11225
(晶3)飞翼划日刀	11226
(晶3)皓命日弯刀	11227
(晶3)图日厚背刀	11228
(晶3)炽日侍卫刀	11229
(晶3)三魂断日刀	11230
(晶4)樱花村日刀	11231
(晶4)霸体钢日刀	11232
(晶4)韬击灭日刀	11233
(晶4)无想祭日禅刀	11234
(晶4)空明烙日刀	11235
(晶4)飞翼划日刀	11236
(晶4)皓命日弯刀	11237
(晶4)图日厚背刀	11238
(晶4)炽日侍卫刀	11239
(晶4)三魂断日刀	11240
(晶5)樱花村日刀	11241
(晶5)霸体钢日刀	11242
(晶5)韬击灭日刀	11243
(晶5)无想祭日禅刀	11244
(晶5)空明烙日刀	11245
(晶5)飞翼划日刀	11246
(晶5)皓命日弯刀	11247
(晶5)图日厚背刀	11248
(晶5)炽日侍卫刀	11249
(晶5)三魂断日刀	11250
(晶6)樱花村日刀	11251
(晶6)霸体钢日刀	11252
(晶6)韬击灭日刀	11253
(晶6)无想祭日禅刀	11254
(晶6)空明烙日刀	11255
(晶6)飞翼划日刀	11256
(晶6)皓命日弯刀	11257
(晶6)图日厚背刀	11258
(晶6)炽日侍卫刀	11259
(晶6)三魂断日刀	11260
(晶7)樱花村日刀	11261
(晶7)霸体钢日刀	11262
(晶7)韬击灭日刀	11263
(晶7)无想祭日禅刀	11264
(晶7)空明烙日刀	11265
(晶7)飞翼划日刀	11266
(晶7)皓命日弯刀	11267
(晶7)图日厚背刀	11268
(晶7)炽日侍卫刀	11269
(晶7)三魂断日刀	11270
(晶8)樱花村日刀	11271
(晶8)霸体钢日刀	11272
(晶8)韬击灭日刀	11273
(晶8)无想祭日禅刀	11274
(晶8)空明烙日刀	11275
(晶8)飞翼划日刀	11276
(晶8)皓命日弯刀	11277
(晶8)图日厚背刀	11278
(晶8)炽日侍卫刀	11279
(晶8)三魂断日刀	11280
(晶9)樱花村日刀	11281
(晶9)霸体钢日刀	11282
(晶9)韬击灭日刀	11283
(晶9)无想祭日禅刀	11284
(晶9)空明烙日刀	11285
(晶9)飞翼划日刀	11286
(晶9)皓命日弯刀	11287
(晶9)图日厚背刀	11288
(晶9)炽日侍卫刀	11289
(晶9)三魂断日刀	11290
(晶10)樱花村日刀	11291
(晶10)霸体钢日刀	11292
(晶10)韬击灭日刀	11293
(晶10)无想祭日刀	11294
(晶10)空明烙日刀	11295
(晶10)飞翼划日刀	11296
(晶10)皓命日弯刀	11297
(晶10)图日厚背刀	11298
(晶10)炽日侍卫刀	11299
(晶10)三魂断日刀	11300
(晶1)樱花村月刀	11301
(晶1)霸体钢月刀	11302
(晶1)韬击灭月刀	11303
(晶1)无想祭月禅刀	11304
(晶1)空明烙月刀	11305
(晶1)飞翼划月刀	11306
(晶1)皓命月弯刀	11307
(晶1)图月厚背刀	11308
(晶1)虚月侍卫刀	11309
(晶1)三魂断月刀	11310
(晶2)樱花村月刀	11311
(晶2)霸体钢月刀	11312
(晶2)韬击灭月刀	11313
(晶2)无想祭月禅刀	11314
(晶2)空明烙月刀	11315
(晶2)飞翼划月刀	11316
(晶2)皓命月弯刀	11317
(晶2)图月厚背刀	11318
(晶2)虚月侍卫刀	11319
(晶2)三魂断月刀	11320
(晶3)樱花村月刀	11321
(晶3)霸体钢月刀	11322
(晶3)韬击灭月刀	11323
(晶3)无想祭月禅刀	11324
(晶3)空明烙月刀	11325
(晶3)飞翼划月刀	11326
(晶3)皓命月弯刀	11327
(晶3)图月厚背刀	11328
(晶3)虚月侍卫刀	11329
(晶3)三魂断月刀	11330
(晶4)樱花村月刀	11331
(晶4)霸体钢月刀	11332
(晶4)韬击灭月刀	11333
(晶4)无想祭月禅刀	11334
(晶4)空明烙月刀	11335
(晶4)飞翼划月刀	11336
(晶4)皓命月弯刀	11337
(晶4)图月厚背刀	11338
(晶4)虚月侍卫刀	11339
(晶4)三魂断月刀	11340
(晶5)樱花村月刀	11341
(晶5)霸体钢月刀	11342
(晶5)韬击灭月刀	11343
(晶5)无想祭月禅刀	11344
(晶5)空明烙月刀	11345
(晶5)飞翼划月刀	11346
(晶5)皓命月弯刀	11347
(晶5)图月厚背刀	11348
(晶5)虚月侍卫刀	11349
(晶5)三魂断月刀	11350
(晶6)樱花村月刀	11351
(晶6)霸体钢月刀	11352
(晶6)韬击灭月刀	11353
(晶6)无想祭月禅刀	11354
(晶6)空明烙月刀	11355
(晶6)飞翼划月刀	11356
(晶6)皓命月弯刀	11357
(晶6)图月厚背刀	11358
(晶6)虚月侍卫刀	11359
(晶6)三魂断月刀	11360
(晶7)樱花村月刀	11361
(晶7)霸体钢月刀	11362
(晶7)韬击灭月刀	11363
(晶7)无想祭月禅刀	11364
(晶7)空明烙月刀	11365
(晶7)飞翼划月刀	11366
(晶7)皓命月弯刀	11367
(晶7)图月厚背刀	11368
(晶7)虚月侍卫刀	11369
(晶7)三魂断月刀	11370
(晶8)樱花村月刀	11371
(晶8)霸体钢月刀	11372
(晶8)韬击灭月刀	11373
(晶8)无想祭月禅刀	11374
(晶8)空明烙月刀	11375
(晶8)飞翼划月刀	11376
(晶8)皓命月弯刀	11377
(晶8)图月厚背刀	11378
(晶8)虚月侍卫刀	11379
(晶8)三魂断月刀	11380
(晶9)樱花村月刀	11381
(晶9)霸体钢月刀	11382
(晶9)韬击灭月刀	11383
(晶9)无想祭月禅刀	11384
(晶9)空明烙月刀	11385
(晶9)飞翼划月刀	11386
(晶9)皓命月弯刀	11387
(晶9)图月厚背刀	11388
(晶9)虚月侍卫刀	11389
(晶9)三魂断月刀	11390
(晶10)樱花村月刀	11391
(晶10)霸体钢月刀	11392
(晶10)韬击灭月刀	11393
(晶10)无想祭月刀	11394
(晶10)空明烙月刀	11395
(晶10)飞翼划月刀	11396
(晶10)皓命月弯刀	11397
(晶10)图月厚背刀	11398
(晶10)虚月侍卫刀	11399
(晶10)三魂断月刀	11400
(晶1)樱花村星刀	11401
(晶1)霸体钢星刀	11402
(晶1)韬击灭星刀	11403
(晶1)无想祭星禅刀	11404
(晶1)空明烙星刀	11405
(晶1)飞翼划星刀	11406
(晶1)皓命星弯刀	11407
(晶1)图星厚背刀	11408
(晶1)隐星侍卫刀	11409
(晶1)三魂断星刀	11410
(晶2)樱花村星刀	11411
(晶2)霸体钢星刀	11412
(晶2)韬击灭星刀	11413
(晶2)无想祭星禅刀	11414
(晶2)空明烙星刀	11415
(晶2)飞翼划星刀	11416
(晶2)皓命星弯刀	11417
(晶2)图星厚背刀	11418
(晶2)隐星侍卫刀	11419
(晶2)三魂断星刀	11420
(晶3)樱花村星刀	11421
(晶3)霸体钢星刀	11422
(晶3)韬击灭星刀	11423
(晶3)无想祭星刀	11424
(晶3)空明烙星刀	11425
(晶3)飞翼划星刀	11426
(晶3)皓命星弯刀	11427
(晶3)图星厚背刀	11428
(晶3)隐星侍卫刀	11429
(晶3)三魂断星刀	11430
(晶4)樱花村星刀	11431
(晶4)霸体钢星刀	11432
(晶4)韬击灭星刀	11433
(晶4)无想祭星刀	11434
(晶4)空明烙星刀	11435
(晶4)飞翼划星刀	11436
(晶4)皓命星弯刀	11437
(晶4)图星厚背刀	11438
(晶4)隐星侍卫刀	11439
(晶4)三魂断星刀	11440
(晶5)樱花村星刀	11441
(晶5)霸体钢星刀	11442
(晶5)韬击灭星刀	11443
(晶5)无想祭星刀	11444
(晶5)空明烙星刀	11445
(晶5)飞翼划星刀	11446
(晶5)皓命星弯刀	11447
(晶5)图星厚背刀	11448
(晶5)隐星侍卫刀	11449
(晶5)三魂断星刀	11450
(晶6)樱花村星刀	11451
(晶6)霸体钢星刀	11452
(晶6)韬击灭星刀	11453
(晶6)无想祭星刀	11454
(晶6)空明烙星刀	11455
(晶6)飞翼划星刀	11456
(晶6)皓命星弯刀	11457
(晶6)图星厚背刀	11458
(晶6)隐星侍卫刀	11459
(晶6)三魂断星刀	11460
(晶7)樱花村星刀	11461
(晶7)霸体钢星刀	11462
(晶7)韬击灭星刀	11463
(晶7)无想祭星刀	11464
(晶7)空明烙星刀	11465
(晶7)飞翼划星刀	11466
(晶7)皓命星弯刀	11467
(晶7)图星厚背刀	11468
(晶7)隐星侍卫刀	11469
(晶7)三魂断星刀	11470
(晶8)樱花村星刀	11471
(晶8)霸体钢星刀	11472
(晶8)韬击灭星刀	11473
(晶8)无想祭星刀	11474
(晶8)空明烙星刀	11475
(晶8)飞翼划星刀	11476
(晶8)皓命星弯刀	11477
(晶8)图星厚背刀	11478
(晶8)隐星侍卫刀	11479
(晶8)三魂断星刀	11480
(晶9)樱花村星刀	11481
(晶9)霸体钢星刀	11482
(晶9)韬击灭星刀	11483
(晶9)无想祭星刀	11484
(晶9)空明烙星刀	11485
(晶9)飞翼划星刀	11486
(晶9)皓命星弯刀	11487
(晶9)图星厚背刀	11488
(晶9)隐星侍卫刀	11489
(晶9)三魂断星刀	11490
(晶10)樱花村星刀	11491
(晶10)霸体钢星刀	11492
(晶10)韬击灭星刀	11493
(晶10)无想祭星刀	11494
