物品名称	编号	说明
木刀	11001	木制的单刀，为习武之人练习用的物品。
卜刀	11002	锐利的单刀
单刀	11003	约五尺的单面刀,厚重,有刀刃.除可以用来砍杀敌人外,刀背亦可以拿来作打击武器.
钢刀	11004	五尺不足的单面钢刀,刀身较一般的单刀为薄.使起来较为轻灵.
直刀	11005	约六尺长的单面刀,刀身远较单刀来的瘦长,刀尖多呈尖角
雁翎刀	11006	状如燕子翅膀的单面刀,造形优美,但打击刀较弱,多为女性使用,最大的好处在于刀身轻灵,
天竺弯刀	11007	由天竺流传过来的弯刀
苗刀	11008	苗人所用的锋利猎刀
刑刀	11009	行刑时所使用的刀
柳叶刀	11010	柳叶状的薄钢单刀，通常以二支一同使用，较一般的刀刃为轻亦较不坚硬。
八卦刀	11011	刀柄刻有八卦图案，且柄为圆柱状的角形单刀。在各种翻刀，转刃的动作上非常的方便。
九环刀	11012	刀面极大的单面刀，刀背结有九个钢环，舞动、施用之时会发出动人铃音。
紫金八卦刀	11013	以深色金属锻造而成的八卦刀，较一般的八卦刀为之沉重，且锋利。
鬼头刀	11014	于刀背有一圆口的单面刀.造形特疏,多于刀上刻有专有的造形物
金背大刀	11015	六尺来长的单面大刀,刀背以金材作装饰,上有刻花宝石,相当沉重的大刀.
锯齿刀	11016	以生铁打成的单刀,将刀刃前部制成锯齿状,可使战斗之中多生出"拖、带、锯"等…不同于原来使刀法的战术.
百辟刀	11017	传说可辟邪除妖的刀
浦元神刀	11018	削金劈铁，为纪念铸造师浦元为名
银弧刀	11019	以银材制成的弯刀,刀身呈弧月状,刀体轻灵,使用方便
虎头金刀	11020	成吉思汗所使用的宝刀
鸳鸯刀	11021	双刀，鸳刀长，上刻仁者，鸯刀短，上刻无敌
紫金刀	11022	已紫金打造的刀，刀身为紫色
血刀	11023	即血刀，刀身软，可曲藏于外衣之下，刀身吸血无数，隐隐生出红光。
冷月宝刀	11024	精钢锻造的单刀，刀柄上用金丝银丝镶着一钩眉毛月之形。
屠龙刀	11025	由玄铁所制成的长刀，削铁如泥的神兵利器。刀中藏有前朝所遗下的秘密。
柴刀	11026	砍柴用的刀子，铁质不佳，仅能处理砍柴，断木的作为。
菜刀	11027	一般民间用来切菜，断肉的料理用刀具，也有人将之用作兵刃。极易取得
倭刀	11028	东瀛岛国武士的用刀
斩马刀	11029	十分巨大的刀
穿云刀	11030	刃纹自然形成奔云状，刃质刚柔适中，翻飞自如
鸣鸿刀	11031	传汉武帝赐与东方朔之宝刀
关刀	11032	十 分沉重的大刀，因关公而得名
子母刀	11033	剑身一长一短且可分解，因而得名
石刀	11034	用石头磨成的刀
青铜刀	11035	用青铜制的刀，较容易卷口
百鍊宝刀	11036	以百鍊铁打造而成的宝刀
破风刀	11037	此刀极轻可轻易破风杀人于无形
步战砍刀	11038	将士再战场上所使用的大砍刀
金刀	11039	绝情谷主所使用的武器
绿波香露刀	11040	刀上喂毒的臭刀，偏以香为名
宿铁刀	11041	犀利非常，能一刀劈断三十片金属甲片
不二刀	11042	不知出处，是一把相当神秘的刀
布刀	11043	一把相当稀松平常的刀
金貂刀	11044	平常看不到刀刃，只有貂头，但一按机关就会由貂口吐出一柄刀
狮头宝刀	11045	刀柄有狮头，相传是一位乱世狂人所遗留而下的
龙王刀	11046	传说是为龙王的宝刀
传家宝刀	11047	祖先所传下的宝刀
残月刀	11048	刀型似残月且散发出冷冷的寒意
飘然刀	11049	刀身薄而刀质软适合贴身携带
销魂刀	11050	杀人不留魂，是一把暴戾之刀
狂啸刀	11051	挥刀时风声狂啸因而得名
快意刀	11052	刀身轻快刀随意转，因而得名
欣悦刀	11053	较一般的刀刃为轻亦较不坚硬。
新月刀	11054	刀柄刻有新月图案，且柄为圆柱状的角形单刀。在各种翻刀，转刃的动作上非常的方便。
冰雪刀	11055	刀面极大的单面刀，舞动、施用之时会发出冰雪之声势。
暴雨刀	11056	以深色金属锻造而成的刀，挥舞起来有如暴雨降临
狂风刀	11057	于刀背有一风口的双面刀.多于刀上刻有专有的造形
无名刀	11058	六尺来长的单面大刀,相当沉重的大刀.
武魂刀	11059	以生铁打成的单刀,可于战斗之中多生出"拖、带、锯"等…不同于原来使刀法的战术.
战神刀	11060	十 分沉重的大刀，因战神而得名
实木刀	11061	比一般木刀坚硬，挥动起来就像真刀一样，是练习刀法的好工具
修罗刀	11062	相传鬼神修罗所使用之利刀
破凤刀	11063	传说中天上之神鸟破凤所落下之刀
魂念刀	11064	道士所使用之破魔刀
翔翼刀	11065	单身细长，质感轻盈之刀
碧盈刀	11066	刀身光亮，前刃锋利
福梦刀	11067	民间传说之福神送给武将之刀
破军刀	11068	破军城居民才能打造之武器
贪狼刀	11069	贪狼城居民才能打造之武器
天魁刀	11070	天魁城居民才能打造之武器
艮山刀	11071	艮山城居民才能打造之武器
巽风刀	11072	巽风城居民才能打造之武器
玄武刀	11073	破军城三阶以上头衔之人才能打造之武器
朱雀刀	11074	贪狼城三阶以上头衔之人才能打造之武器
白虎刀	11075	天魁城三阶以上头衔之人才能打造之武器
麒麟刀	11076	艮山城三阶以上头衔之人才能打造之武器
青龙刀	11077	巽风城三阶以上头衔之人才能打造之武器
金龙刀	11078	柄化龙，刀身金黄耀眼，难掩狂气
木龙刀	11079	柄化龙，刀身苍翠欲滴，兵不刃血
水龙刀	11080	柄化龙，刀身似水流动，古井无波
火龙刀	11081	柄化龙，刀身如火熊熊，霸道无匹
土龙刀	11082	柄化龙，刀身古铜朴实，锋芒内敛
五帝尊刀	11083	五帝尊刀
(强化)鬼头刀	11084	(强化）鬼头刀
(强化)金背大刀	11085	(强化）金背大刀
(强化)锯齿刀	11086	(强化）锯齿刀
(强化)百辟刀	11087	(强化）百辟刀
(强化)浦元神刀	11088	(强化）浦元神刀
(强化)银弧刀	11089	(强化）银弧刀
(强化)虎头金刀	11090	(强化）虎头金刀
(强化)倭刀	11091	(强化）倭刀
(强化)斩马刀	11092	(强化）斩马刀
(强化)关刀	11093	(强化）关刀
(强化)子母刀	11094	(强化）子母刀
(强化)百鍊宝刀	11095	(强化）百鍊宝刀
(强化)破风刀	11096	(强化）破风刀
(强化)步战砍刀	11097	(强化）步战砍刀
(强化)金刀	11098	(强化）金刀
(强化)绿波香露刀	11099	(强化）绿波香露刀
(强化)宿铁刀	11100	(强化）宿铁刀
(强化)金貂刀	11101	(强化）金貂刀
(强化)狮头宝刀	11102	(强化）狮头宝刀
(强化)快意刀	11103	(强化）快意刀
(强化)暴雨刀	11104	(强化）暴雨刀
(强化)狂风刀	11105	(强化）狂风刀
(强化)无名刀	11106	(强化）无名刀
(强化)武魂刀	11107	(强化）武魂刀
(强化)战神刀	11108	(强化）战神刀
(强化)修罗刀	11109	(强化）修罗刀
(强化)魂念刀	11110	(强化）魂念刀
(强化)破军刀	11111	(强化）破军刀
(强化)贪狼刀	11112	(强化）贪狼刀
(强化)天魁刀	11113	(强化）天魁刀
(强化)艮山刀	11114	(强化）艮山刀
(强化)巽风刀	11115	(强化）巽风刀
(强化)玄武刀	11116	(强化）玄武刀
(强化)朱雀刀	11117	(强化）朱雀刀
(强化)白虎刀	11118	(强化）白虎刀
(强化)麒麟刀	11119	(强化）麒麟刀
(强化)青龙刀	11120	(强化）青龙刀
(强化)金龙刀	11121	(强化）金龙刀
(强化)木龙刀	11122	(强化）木龙刀
(强化)水龙刀	11123	(强化）水龙刀
(强化)火龙刀	11124	(强化）火龙刀
(强化)土龙刀	11125	(强化）土龙刀
(强化)五帝尊刀	11126	(强化）五帝尊刀
炼狱刀	11127	炼狱刀
门派比武用刀	11128	门派比武用刀
奇门龙刃刀	11129	京城著名打铁大师所打造，刃刀中攀附着双龙
五蕴戒刀	11130	五蕴戒刀
狂威刀	11131	狂威刀
泰阿刀	11132	泰阿刀
龙渊刀	11133	龙渊刀
月梦刀	11134	传说是由天上明月之光投射在铸剑炉，经七七四十九天不断打造而成
游龙刀	11135	游龙刀
振威刀	11136	振威刀
枫杨刀	11137	枫杨刀，为NPC门派终身制弟子专属武器；若脱离NPC门派则枫杨刀将会回收。
潋滟刀	11138	潋灔刀，为NPC门派终身制弟子专属武器；若脱离NPC门派则潋灔刀将会回收。
琅琊刀	11139	琅琊刀，为NPC门派终身制弟子专属武器；若脱离NPC门派则琅琊刀将会回收。
强化振威刀	11140	强化振威刀
(精一)紫金刀	11141	已紫金打造的刀，刀身为紫色
(精一)鸳鸯刀	11142	双刀，鸳刀长，上刻仁者，鸯刀短，上刻无敌
(精一)不二刀	11143	不知出处，是一把相当神秘的刀
(精二)紫金刀	11144	已紫金打造的刀，刀身为紫色
(精二)鸳鸯刀	11145	双刀，鸳刀长，上刻仁者，鸯刀短，上刻无敌
(精二)不二刀	11146	不知出处，是一把相当神秘的刀
(精三)紫金刀	11147	已紫金打造的刀，刀身为紫色
(精三)鸳鸯刀	11148	双刀，鸳刀长，上刻仁者，鸯刀短，上刻无敌
(精三)不二刀	11149	不知出处，是一把相当神秘的刀
(精四)紫金刀	11150	已紫金打造的刀，刀身为紫色
(精四)鸳鸯刀	11151	双刀，鸳刀长，上刻仁者，鸯刀短，上刻无敌
(精四)不二刀	11152	不知出处，是一把相当神秘的刀
